"from_index","to_index","from_id","to_id","edge_dissimilarity","boundary_prob","w_posterior","boundary_median"
124,138,"42750","43150",0.149979121742434,0,1,0
137,138,"43130","43150",0.262463463049255,0,1,0
62,139,"30110","43720",0.168726511960238,0,1,0
133,139,"43111","43720",0.759269303821067,0,1,0
62,140,"30110","43730",0.618663877187536,0,1,0
139,140,"43720","43730",0.787390389147774,0,1,0
140,141,"43730","43740",0.41244258479169,0,1,0
133,142,"43111","43745",1.06860124241483,0,1,0
136,142,"43114","43745",0.59054279186083,0,1,0
105,143,"41550","43750",1.3591857907908,0.0256,1,0
136,143,"43114","43750",1.28419622991958,0.00380000000000003,1,0
142,143,"43745","43750",0.69365343805875,0,1,0
133,144,"43111","43760",0.0843632559801183,0,1,0
137,144,"43130","43760",1.34981209568189,0.0212,1,0
139,144,"43720","43760",0.674906047840948,0,1,0
142,144,"43745","43760",0.984237986434714,0,1,0
104,145,"41500","43770",0.524926926098512,0,1,0
105,145,"41550","43770",1.3873068761175,0.0466,1,0
111,145,"41670","43770",1.65914403427566,0.3649,1,0
137,145,"43130","43770",0.356200414138277,0,1,0
142,145,"43745","43770",0.721774523385456,0,1,0
143,145,"43750","43770",0.0281210853267055,0,1,0
144,145,"43760","43770",1.70601250982017,0.4007,1,0
124,146,"42750","43800",0.196847597286942,0,1,0
138,146,"43150","43800",0.0468684755445077,0,1,0
72,147,"36110","44131",3.02770352017536,0.89,0,1
135,147,"43113","44131",0.899874730454596,0,1,0
136,147,"43114","44131",0.637411267405339,0,1,0
143,147,"43750","44131",0.646784962514241,0,1,0
85,148,"41220","44133",0.731148218494359,0,1,0
105,148,"41550","44133",0.712400828276554,0,1,0
143,148,"43750","44133",0.646784962514241,0,1,0
147,148,"44131","44133",0,0,1,0
65,149,"30200","44150",2.04346553374065,0.5074,0,1
72,149,"36110","44150",1.67789142449347,0.3837,1,0
147,149,"44131","44150",1.3498120956819,0.0212,1,0
85,151,"41220","44200",0.121858036415727,0,1,0
147,151,"44131","44200",0.853006254910087,0,1,0
148,151,"44133","44200",0.853006254910087,0,1,0
149,151,"44150","44200",0.496805840771808,0,1,0
64,153,"30170","44230",0.993611681543618,0,1,0
149,153,"44150","44230",1.32169101035519,0.00609999999999999,1,0
64,154,"30170","44250",2.19344465548308,0.5167,0,1
65,154,"30200","44250",0.178100207069138,0,1,0
149,154,"44150","44250",1.86536532667151,0.4801,1,0
153,154,"44230","44250",3.1870563370267,0.9556,0,1
85,155,"41220","44270",0.515553230989613,0,1,0
151,155,"44200","44270",0.637411267405341,0,1,0
152,155,"44210","44270",0.328079328811573,0,1,0
62,156,"30110","44710",0.59054279186083,0,1,0
63,156,"30140","44710",0.206221292395846,0,1,0
64,156,"30170","44710",0.0937369510890202,0,1,0
140,156,"43730","44710",0.0281210853267056,0,1,0
141,156,"43740","44710",0.384321499464984,0,1,0
153,156,"44230","44710",1.08734863263264,0,1,0
149,157,"44150","44760",0.149979121742433,0,1,0
150,157,"44180","44760",1.13421710817715,0,1,0
153,157,"44230","44760",1.17171188861276,9.9999999999989e-05,1,0
150,158,"44180","44770",0.796764084256674,0,1,0
157,158,"44760","44770",0.337453023920473,0,1,0
149,159,"44150","44790",0.40306888968279,0,1,0
150,159,"44180","44790",0.881127340236791,0,1,0
157,159,"44760","44790",0.253089767940357,0,1,0
150,160,"44180","44800",1.3779331810086,0.0377999999999999,1,0
152,160,"44210","44800",0.899874730454596,0,1,0
159,160,"44790","44800",0.49680584077181,0,1,0
149,161,"44150","44810",0.224968682613651,0,1,0
151,161,"44200","44810",0.271837158158157,0,1,0
152,161,"44210","44810",0.581169096751925,0,1,0
155,161,"44270","44810",0.909248425563498,0,1,0
159,161,"44790","44810",0.178100207069139,0,1,0
160,161,"44800","44810",0.318705633702671,0,1,0
152,162,"44210","44825",1.66533453693773e-15,0,1,0
163,164,"45111","45113",0,0,1,0
153,166,"44230","45140",1.19983297393946,0.00139999999999996,1,0
157,166,"44760","45140",0.0281210853267072,0,1,0
164,166,"45113","45140",0.871753645127891,0,1,0
165,166,"45130","45140",0.103110646197924,0,1,0
163,169,"45111","45210",1.10609602285044,0,1,0
164,169,"45113","45210",1.10609602285044,0,1,0
165,169,"45130","45210",0.337453023920477,0,1,0
166,169,"45140","45210",0.234342377722553,0,1,0
167,169,"45180","45210",0.31870563370267,0,1,0
153,170,"44230","45710",1.21858036415727,0.00160000000000005,1,0
156,170,"44710","45710",0.131231731524629,0,1,0
163,170,"45111","45710",0.853006254910087,0,1,0
164,170,"45113","45710",0.853006254910087,0,1,0
166,170,"45140","45710",0.0187473902178037,0,1,0
167,170,"45180","45710",0.571795401643026,0,1,0
169,170,"45210","45710",0.253089767940357,0,1,0
156,171,"44710","45720",0.693653438058752,0,1,0
170,171,"45710","45720",0.562421706534123,0,1,0
141,172,"43740","45730",1.53728599785994,0.1407,1,0
156,172,"44710","45730",1.15296449839495,0,1,0
171,172,"45720","45730",0.459311060336201,0,1,0
168,173,"45190","45740",0.178100207069137,0,1,0
171,173,"45720","45740",0.571795401643025,0,1,0
172,173,"45730","45740",1.03110646197923,0,1,0
167,174,"45180","45750",1.10609602285044,0,1,0
168,174,"45190","45750",0.365574109247181,0,1,0
170,174,"45710","45750",0.534300621207416,0,1,0
171,174,"45720","45750",0.0281210853267072,0,1,0
173,174,"45740","45750",0.543674316316317,0,1,0
167,175,"45180","45770",0.881127340236794,0,1,0
168,175,"45190","45770",0.140605426633533,0,1,0
174,175,"45750","45770",0.224968682613648,0,1,0
167,176,"45180","45790",0.421816279900593,0,1,0
165,177,"45130","45800",0.337453023920477,0,1,0
167,177,"45180","45800",0.31870563370267,0,1,0
169,177,"45210","45800",0,0,1,0
176,177,"45790","45800",0.103110646197924,0,1,0
179,180,"46130","46150",0.862379950018989,0,1,0
59,181,"29155","46170",0.384321499464986,0,1,0
61,181,"29200","46170",0.281210853267062,0,1,0
179,182,"46130","46230",0.496805840771808,0,1,0
180,182,"46150","46230",0.365574109247181,0,1,0
60,183,"29170","46710",0.393695194573888,0,1,0
175,183,"45770","46710",0.637411267405339,0,1,0
168,184,"45190","46720",0.0562421706534128,0,1,0
175,184,"45770","46720",0.08436325598012,0,1,0
180,184,"46150","46720",0.262463463049258,0,1,0
183,184,"46710","46720",0.721774523385459,0,1,0
168,185,"45190","46730",0.328079328811571,0,1,0
180,185,"46150","46730",0.646784962514243,0,1,0
182,185,"46230","46730",0.281210853267062,0,1,0
184,185,"46720","46730",0.384321499464984,0,1,0
180,187,"46150","46780",1.10609602285044,0,1,0
186,187,"46770","46780",2.90584548375963,0.83,0,1
57,188,"29110","46790",0.965490596216911,0,1,0
59,188,"29155","46790",1.15296449839495,0,1,0
60,188,"29170","46790",0.965490596216909,0,1,0
180,188,"46150","46790",0.899874730454596,0,1,0
181,188,"46170","46790",0.768642998929967,0,1,0
183,188,"46710","46790",1.3591857907908,0.0256,1,0
