dataset,N,edge_count,true_eta,true_rho,beta_0_error,beta_0_abs_error,beta_0_zscore,sigma2_w_error,sigma2_w_abs_error,sigma2_w_zscore,eta_error,eta_abs_error,eta_zscore,rho_error,rho_abs_error,rho_zscore
116,43,118,0.2723,0.9100,0.0045,0.0045,-0.2020,0.0652,0.0652,-0.3346,-0.0686,0.0686,0.4386,-0.1494,0.1494,0.5670
117,202,590,0.1786,0.4696,0.0192,0.0192,-0.8030,0.0056,0.0056,-0.0295,-0.0660,0.0660,0.9071,0.0331,0.0331,-0.3799
118,295,864,0.6302,0.9451,-0.0015,0.0015,0.1298,0.1055,0.1055,-0.5025,-0.2908,0.2908,1.5545,-0.0517,0.0517,0.2908
119,274,802,0.5305,0.2928,-0.0079,0.0079,0.3658,-0.0298,0.0298,0.6944,-0.0990,0.0990,0.4962,-0.1401,0.1401,1.9670
120,231,678,0.1599,0.4551,0.0293,0.0293,-0.6762,0.1302,0.1302,-0.8047,-0.0122,0.0122,0.1365,0.1133,0.1133,-0.9773
121,224,656,0.0176,0.7098,-0.0162,0.0162,0.5358,0.1912,0.1912,-0.8085,0.0974,0.0974,-1.2955,0.0469,0.0469,-0.5126
122,165,478,0.5115,0.5050,-0.0258,0.0258,1.1787,0.1620,0.1620,-0.8452,0.0322,0.0322,-0.3324,0.2283,0.2283,-1.5566
123,145,418,0.0230,0.7119,-0.0239,0.0239,1.0294,0.0193,0.0193,-0.0889,0.1720,0.1720,-1.5011,0.0086,0.0086,-0.0677
124,143,413,0.3613,0.2327,-0.0025,0.0025,0.1000,0.0342,0.0342,-0.7841,-0.1116,0.1116,0.7023,0.0015,0.0015,-0.0140
125,113,324,0.3103,0.0421,0.0110,0.0110,-0.1906,0.0115,0.0115,-0.1565,0.1119,0.1119,-0.4768,0.2279,0.2279,-0.8937
126,215,629,0.3460,0.7358,-0.0136,0.0136,0.6818,0.0230,0.0230,-0.1089,-0.1095,0.1095,0.9022,-0.0312,0.0312,0.2542
127,183,534,0.2015,0.7198,0.0011,0.0011,-0.0290,0.0099,0.0099,-0.0859,-0.0186,0.0186,0.1500,-0.1296,0.1296,0.6099
128,242,708,0.4016,0.4818,0.0121,0.0121,-0.4292,-0.0269,0.0269,0.2531,-0.0107,0.0107,0.0988,-0.0854,0.0854,0.8751
129,115,331,0.1302,0.3769,0.0041,0.0041,-0.1598,0.0083,0.0083,-0.0998,0.1054,0.1054,-0.6155,-0.0238,0.0238,0.1291
130,152,440,0.6041,0.3100,-0.0023,0.0023,0.0812,0.1962,0.1962,-1.2008,-0.0559,0.0559,0.5150,0.2407,0.2407,-1.9039
131,149,431,0.4284,0.3393,-0.0006,0.0006,0.0401,0.0866,0.0866,-0.5403,-0.0652,0.0652,0.3431,0.3918,0.3918,-1.5897
132,178,517,0.1166,0.2312,-0.0005,0.0005,0.0292,-0.0205,0.0205,1.3337,0.2601,0.2601,-1.1736,-0.0898,0.0898,1.1518
133,173,502,0.5117,0.1302,-0.0080,0.0080,0.4330,0.0167,0.0167,-0.2344,-0.1861,0.1861,0.8860,0.2026,0.2026,-0.7695
134,147,424,0.6776,0.2550,0.0228,0.0228,-0.2359,0.0085,0.0085,-0.1237,-0.3617,0.3617,1.9450,-0.0193,0.0193,0.2278
135,247,725,0.4252,0.8633,-0.0118,0.0118,0.6531,-0.4334,0.4334,2.1082,-0.2199,0.2199,2.0411,-0.1781,0.1781,1.5550
136,95,271,0.3981,0.7290,0.0014,0.0014,-0.0244,-0.1538,0.1538,0.6251,0.0561,0.0561,-0.3743,-0.0307,0.0307,0.3211
137,177,514,0.4172,0.4975,-0.0160,0.0160,0.6661,0.0971,0.0971,-0.4830,0.1263,0.1263,-1.1202,0.0361,0.0361,-0.3992
138,76,211,0.2371,0.5072,-0.0235,0.0235,0.7880,0.2879,0.2879,-1.1582,-0.0504,0.0504,0.3923,0.2645,0.2645,-1.8809
139,217,637,0.0318,0.3087,0.0349,0.0349,-0.3809,0.0471,0.0471,-0.7034,0.2835,0.2835,-1.9312,0.1032,0.1032,-0.8261
140,216,633,0.0516,0.5422,0.0097,0.0097,-0.5821,-0.0627,0.0627,0.4421,0.1107,0.1107,-1.0825,-0.0580,0.0580,0.4977
141,116,333,0.3870,0.8938,-0.0131,0.0131,0.6539,-0.0246,0.0246,0.1773,-0.1250,0.1250,0.6649,-0.3519,0.3519,1.2413
142,177,512,0.2476,0.5433,0.0082,0.0082,-0.3557,0.0966,0.0966,-0.4557,0.0080,0.0080,-0.0689,-0.0747,0.0747,0.9374
143,148,429,0.3529,0.1681,0.0184,0.0184,-0.3240,0.0563,0.0563,-0.5409,0.0736,0.0736,-0.3948,-0.0001,0.0001,0.0018
144,248,726,0.3976,0.5305,-0.0023,0.0023,0.0618,0.0835,0.0835,-0.5065,0.0505,0.0505,-0.3609,0.1377,0.1377,-0.6871
145,273,800,0.1906,0.1408,0.0022,0.0022,-0.1058,0.0389,0.0389,-0.9938,0.1167,0.1167,-0.6473,0.0710,0.0710,-0.9629
146,164,475,0.7065,0.4660,0.0245,0.0245,-1.2670,0.0999,0.0999,-0.6761,-0.3073,0.3073,1.9495,0.0425,0.0425,-0.3160
147,258,761,0.0991,0.5657,0.0063,0.0063,-0.3806,0.1092,0.1092,-0.5917,0.0225,0.0225,-0.2947,0.0634,0.0634,-0.6258
148,141,409,0.5065,0.3625,-0.0107,0.0107,0.4613,0.0486,0.0486,-0.5758,-0.1763,0.1763,1.0789,0.0087,0.0087,-0.0606
149,238,698,0.3369,0.6151,-0.0097,0.0097,0.6073,0.1703,0.1703,-0.8741,-0.0128,0.0128,0.1028,0.1093,0.1093,-0.8515
150,166,486,0.3906,0.8482,-0.0152,0.0152,1.0152,-0.2032,0.2032,1.0216,0.0195,0.0195,-0.1646,-0.1318,0.1318,1.0510
151,230,671,0.0771,0.8282,-0.0148,0.0148,0.8001,0.0610,0.0610,-0.2790,0.0508,0.0508,-0.6240,-0.0241,0.0241,0.2170
152,286,845,0.4414,0.5275,-0.0077,0.0077,0.4390,0.2138,0.2138,-1.0283,0.0367,0.0367,-0.4509,0.1305,0.1305,-1.4845
153,199,580,0.4959,0.1182,0.0099,0.0099,-0.3895,-0.0499,0.0499,1.1332,-0.0161,0.0161,0.0745,-0.0116,0.0116,0.1922
154,88,251,0.0730,0.0558,0.0075,0.0075,-0.2154,0.1646,0.1646,-1.5324,0.2700,0.2700,-1.3729,0.0798,0.0798,-0.9971
155,198,579,0.4597,0.7857,0.0025,0.0025,-0.1290,-0.4040,0.4040,1.8020,0.0145,0.0145,-0.1949,-0.1079,0.1079,1.2933
156,281,823,0.0282,0.6897,0.0071,0.0071,-0.3001,0.0321,0.0321,-0.1500,0.1123,0.1123,-1.4029,-0.0187,0.0187,0.1953
157,226,656,0.2962,0.0410,-0.0046,0.0046,0.1708,0.1202,0.1202,-1.0385,0.0415,0.0415,-0.2075,0.0284,0.0284,-0.6271
158,70,197,0.4947,0.1345,0.0189,0.0189,-0.5982,0.1509,0.1509,-1.1912,-0.0098,0.0098,0.0546,0.1720,0.1720,-1.1592
159,189,551,0.1418,0.5837,0.0689,0.0689,-0.8708,0.0802,0.0802,-0.4864,0.0108,0.0108,-0.1107,0.0806,0.0806,-0.5459
160,99,284,0.6935,0.9453,0.0082,0.0082,-0.5524,0.1364,0.1364,-0.5504,-0.1791,0.1791,1.5055,-0.0260,0.0260,0.3143
161,295,866,0.4063,0.4496,0.0072,0.0072,-0.2889,0.0679,0.0679,-0.4151,-0.0623,0.0623,0.4385,0.0383,0.0383,-0.3832
162,54,148,0.5747,0.5979,0.0132,0.0132,-0.3551,0.0813,0.0813,-0.3507,-0.0725,0.0725,0.3862,0.0923,0.0923,-0.5047
163,171,497,0.6763,0.2908,-0.0178,0.0178,0.8361,0.0404,0.0404,-0.3078,-0.0219,0.0219,0.2870,0.1406,0.1406,-1.2548
164,80,226,0.5650,0.4324,-0.0183,0.0183,0.5969,-0.0657,0.0657,1.1323,-0.2195,0.2195,1.0395,-0.2615,0.2615,1.8399
