dataset,N,edge_count,true_eta,true_rho,graph_size_bin,parameter,posterior_z
195,136,389,0.5227,0.8418,"(95.75, 155.0]",beta_0,-0.3221
196,69,192,0.2816,0.6334,"(39.9999, 95.75]",beta_0,0.4370
197,92,261,0.4922,0.4233,"(39.9999, 95.75]",beta_0,-1.3575
198,64,180,0.2793,0.3268,"(39.9999, 95.75]",beta_0,-0.7469
199,118,338,0.4146,0.1766,"(95.75, 155.0]",beta_0,0.8266
0,138,397,0.3056,0.9808,"(95.75, 155.0]",sigma2_w,-0.0776
1,204,593,0.0606,0.7890,"(155.0, 217.5]",sigma2_w,-0.6104
2,127,362,0.7102,0.8281,"(95.75, 155.0]",sigma2_w,0.6009
3,205,598,0.6721,0.8599,"(155.0, 217.5]",sigma2_w,0.6487
4,97,276,0.0617,0.0594,"(95.75, 155.0]",sigma2_w,-0.8589
5,223,650,0.1451,0.5733,"(217.5, 299.0]",sigma2_w,-0.0115
6,205,598,0.0223,0.8939,"(155.0, 217.5]",sigma2_w,1.0596
7,268,787,0.0609,0.5438,"(217.5, 299.0]",sigma2_w,-1.4391
8,94,266,0.2451,0.8577,"(39.9999, 95.75]",sigma2_w,1.1608
9,132,380,0.4547,0.7167,"(95.75, 155.0]",sigma2_w,0.2877
10,55,151,0.1328,0.5048,"(39.9999, 95.75]",sigma2_w,0.0472
11,161,466,0.4442,0.9759,"(155.0, 217.5]",sigma2_w,1.6231
12,79,223,0.2396,0.7592,"(39.9999, 95.75]",sigma2_w,-0.6130
13,94,269,0.0139,0.2653,"(39.9999, 95.75]",sigma2_w,-0.4601
14,56,156,0.7095,0.1360,"(39.9999, 95.75]",sigma2_w,-0.8747
15,208,607,0.3550,0.0958,"(155.0, 217.5]",sigma2_w,-1.2391
16,166,485,0.4904,0.8273,"(155.0, 217.5]",sigma2_w,0.6065
17,167,479,0.5269,0.8364,"(155.0, 217.5]",sigma2_w,-0.0830
18,102,289,0.6593,0.0116,"(95.75, 155.0]",sigma2_w,-0.3573
19,99,281,0.5103,0.8012,"(95.75, 155.0]",sigma2_w,1.4329
20,248,726,0.6088,0.3530,"(217.5, 299.0]",sigma2_w,-0.3442
21,274,804,0.2921,0.3062,"(217.5, 299.0]",sigma2_w,-0.2858
22,124,355,0.2938,0.5234,"(95.75, 155.0]",sigma2_w,0.2364
23,66,186,0.6749,0.5387,"(39.9999, 95.75]",sigma2_w,-0.6129
24,195,571,0.1373,0.2931,"(155.0, 217.5]",sigma2_w,-0.8879
25,152,440,0.3853,0.8504,"(95.75, 155.0]",sigma2_w,-0.5640
