"draw","beta_0","alpha","tau2"
349,0.0960367415334371,0.687539749536832,0.0218603145149115
350,0.0865874605732035,0.710446303941256,0.0212503782709869
351,0.0899589078016056,0.688618331016094,0.0241764352834116
352,0.0925893316738579,0.697988939109772,0.0275403266762774
353,0.100572557484088,0.501212873829062,0.0263947132217667
354,0.0956981711772977,0.453545573720103,0.0317992831111913
355,0.0975422459192602,0.421106017825567,0.0373688653740048
356,0.0988928819364685,0.386806400373887,0.0430166644141476
357,0.0853189422223154,0.450133926980869,0.0296118401489844
358,0.110213510308738,0.450482293028184,0.0277256558618604
359,0.0874509906370207,0.446245808266701,0.0313350809071423
360,0.108763976354021,0.42712266435276,0.0288649030904573
361,0.0689345248193112,0.454586096405904,0.0256268744155703
362,0.0757056255801376,0.449928101530915,0.0248066590252475
363,0.0858879322459894,0.455515505773347,0.0387073159980709
364,0.0899993533805342,0.443326673775082,0.0525779946024762
365,0.0883191270798513,0.444527249485228,0.0461455578294467
366,0.102951375344091,0.426023580227128,0.0503023944327855
367,0.101942083848545,0.409058183054865,0.0346278072096941
368,0.0933757586430314,0.443839250610203,0.0282545089721667
369,0.0861382822615835,0.450548130727117,0.0553246364066657
370,0.0993962010269112,0.438319828273878,0.0349004646664161
371,0.0988713017856464,0.436525821292525,0.0409946624259378
372,0.0941308485570827,0.450489972678186,0.0569502327773558
373,0.0828467350363226,0.438699956825975,0.0371727526313181
374,0.102960855701476,0.436322638302198,0.0434072329578561
375,0.10818925064839,0.437321628108409,0.0205697165600041
376,0.0838361044050178,0.427359948575692,0.0412730658831769
377,0.10460206896392,0.426243369564582,0.0520046074525435
378,0.0909971641247992,0.446092944763796,0.0275152013571693
379,0.10562956378854,0.46246984125919,0.0516514020225049
380,0.0828449957601677,0.447791489153694,0.0278977328069477
381,0.107707353584572,0.440616667370331,0.0410803572182946
382,0.102592029311798,0.453727468660528,0.0217171984257672
383,0.103597948387846,0.432754124428046,0.0376267615713634
384,0.0960931872606469,0.462637582807469,0.0332858232292329
385,0.109358665113278,0.428633111815259,0.0302573097334552
386,0.0920966828882543,0.440989613883323,0.0175284786906887
387,0.101827221751709,0.447539661536477,0.0370396987040341
388,0.102449626442256,0.442296536790922,0.0364589860229959
389,0.0861038516524013,0.435952396177375,0.0354523595487108
390,0.0858349225131721,0.429226484823325,0.0388166861155152
391,0.0933494759676113,0.442198106152437,0.0482494256773025
392,0.0979173601468357,0.448788367105631,0.0379985776116735
393,0.11125321166142,0.431280503310078,0.0368651429707827
394,0.100056193566083,0.432826681044917,0.030353520387585
395,0.0962950940572943,0.420907267708692,0.0427653280938874
396,0.0905971661855091,0.42936599486628,0.047689890005884
397,0.11361657497248,0.432392956530697,0.0196629002491705
398,0.113484912212604,0.434638815139809,0.030290804286703
399,0.117098754726371,0.426406373681347,0.025596335356305
400,0.104994068575659,0.447036805499919,0.0320063562482959
401,0.105988455314307,0.440267557170935,0.0390425018249933
402,0.109686013677598,0.412722527249711,0.0357870578869846
403,0.113383299698763,0.448639471418226,0.0540867115677542
404,0.0983882846447382,0.445576682556566,0.0422415566984848
405,0.105348821815593,0.427052749194272,0.0570876232434611
406,0.107478787008538,0.432980074810365,0.0306986962419847
407,0.0999271897865004,0.303985742126533,0.0347670427388009
408,0.105802655674065,0.344822543110501,0.0532464026573381
409,0.0935219506325491,0.438376900819695,0.0238088204438394
410,0.0934901867974614,0.434501701816874,0.035919516335681
411,0.0720757256348629,0.43577884639169,0.0448235489187779
412,0.10584359904765,0.42919245840932,0.0283438174743333
413,0.0997147679758671,0.446171487932559,0.0481479913475192
414,0.0783596561640478,0.439701014929215,0.0382510105124744
415,0.0996265787651296,0.440575887099458,0.0329020089702331
416,0.098291916916164,0.444948102811995,0.0403626358532519
417,0.0898914624687929,0.430538547251643,0.0298943903609383
418,0.0990327873354771,0.450042090518319,0.0284535445359467
419,0.07758244349387,0.443449051938554,0.0417774643823951
420,0.106250852818444,0.447938494741871,0.027505915042782
421,0.0754736815359953,0.442893754338102,0.0318055224835387
422,0.0973247693159963,0.450130193539148,0.0292092773091147
423,0.0951218085401324,0.432654230640245,0.0336760542209002
424,0.118789969706833,0.434507781470694,0.0395818729686183
425,0.118789969706833,0.427726334748291,0.0457933007169531
426,0.103492961168095,0.430067967501313,0.0234895423712877
