experiment,label,batch_index,N,elapsed_sec,datasets_in_batch,num_samples_requested,seconds_per_dataset,seconds_per_1000_draws_per_dataset
01_ablate_core_observation_features,No core observation features,19,59,1.6483430999796838,50,1000,0.03296686199959367,0.03296686199959367
01_ablate_core_observation_features,No core observation features,20,60,1.6714151001069695,50,1000,0.03342830200213939,0.03342830200213939
01_ablate_core_observation_features,No core observation features,21,61,1.6455539999296889,50,1000,0.03291107999859378,0.03291107999859378
01_ablate_core_observation_features,No core observation features,22,62,1.6588473999872804,50,1000,0.033176947999745604,0.033176947999745604
01_ablate_core_observation_features,No core observation features,23,63,1.686228199978359,50,1000,0.03372456399956718,0.03372456399956718
01_ablate_core_observation_features,No core observation features,24,64,1.7006001999834552,50,1000,0.0340120039996691,0.0340120039996691
01_ablate_core_observation_features,No core observation features,25,65,1.7142930999398232,50,1000,0.03428586199879646,0.03428586199879646
01_ablate_core_observation_features,No core observation features,26,66,1.7088261999888346,50,1000,0.03417652399977669,0.03417652399977669
01_ablate_core_observation_features,No core observation features,27,67,1.7101837999653071,50,1000,0.03420367599930614,0.03420367599930614
01_ablate_core_observation_features,No core observation features,28,68,1.712470000027679,50,1000,0.03424940000055358,0.03424940000055358
01_ablate_core_observation_features,No core observation features,29,69,1.7246553000295535,50,1000,0.03449310600059107,0.03449310600059107
01_ablate_core_observation_features,No core observation features,30,70,1.7069225999293849,50,1000,0.0341384519985877,0.0341384519985877
01_ablate_core_observation_features,No core observation features,31,71,1.7172715000342578,50,1000,0.034345430000685157,0.034345430000685157
01_ablate_core_observation_features,No core observation features,32,72,1.7207202999852598,50,1000,0.034414405999705196,0.034414405999705196
01_ablate_core_observation_features,No core observation features,33,73,1.7024579999269918,50,1000,0.03404915999853984,0.03404915999853984
01_ablate_core_observation_features,No core observation features,34,74,1.7027785000391304,50,1000,0.03405557000078261,0.03405557000078261
01_ablate_core_observation_features,No core observation features,35,75,1.7280479000182822,50,1000,0.03456095800036565,0.03456095800036565
01_ablate_core_observation_features,No core observation features,36,76,1.7203355999663472,50,1000,0.03440671199932695,0.03440671199932695
01_ablate_core_observation_features,No core observation features,37,77,1.7239841999253258,50,1000,0.03447968399850652,0.03447968399850652
01_ablate_core_observation_features,No core observation features,38,78,1.7289553999435157,50,1000,0.03457910799887031,0.03457910799887031
01_ablate_core_observation_features,No core observation features,39,79,1.7483053000178188,50,1000,0.03496610600035638,0.03496610600035638
01_ablate_core_observation_features,No core observation features,40,80,1.733683199970983,50,1000,0.03467366399941966,0.03467366399941966
01_ablate_core_observation_features,No core observation features,41,81,1.7687454000115395,50,1000,0.03537490800023079,0.03537490800023079
01_ablate_core_observation_features,No core observation features,42,82,1.9284461999777704,50,1000,0.03856892399955541,0.03856892399955541
01_ablate_core_observation_features,No core observation features,43,83,1.7795557000208646,50,1000,0.03559111400041729,0.03559111400041729
01_ablate_core_observation_features,No core observation features,44,84,1.8012379000429064,50,1000,0.03602475800085813,0.03602475800085813
01_ablate_core_observation_features,No core observation features,45,85,1.9022239999612793,50,1000,0.03804447999922558,0.03804447999922558
01_ablate_core_observation_features,No core observation features,46,86,1.970998500008136,50,1000,0.03941997000016272,0.03941997000016272
01_ablate_core_observation_features,No core observation features,47,87,1.8522821998922154,50,1000,0.03704564399784431,0.03704564399784431
01_ablate_core_observation_features,No core observation features,48,88,1.78745149995666,50,1000,0.0357490299991332,0.0357490299991332
01_ablate_core_observation_features,No core observation features,49,89,1.7186346999369562,50,1000,0.03437269399873912,0.03437269399873912
01_ablate_core_observation_features,No core observation features,50,90,1.7192956999642774,50,1000,0.03438591399928555,0.03438591399928555
01_ablate_core_observation_features,No core observation features,51,91,1.7447802999522537,50,1000,0.03489560599904507,0.03489560599904507
01_ablate_core_observation_features,No core observation features,52,92,1.7683810000307858,50,1000,0.03536762000061572,0.03536762000061572
01_ablate_core_observation_features,No core observation features,53,93,1.8082657000049949,50,1000,0.036165314000099896,0.036165314000099896
01_ablate_core_observation_features,No core observation features,54,94,1.7726631999248639,50,1000,0.03545326399849728,0.03545326399849728
01_ablate_core_observation_features,No core observation features,55,95,1.9234622999792919,50,1000,0.03846924599958584,0.03846924599958584
01_ablate_core_observation_features,No core observation features,56,96,2.011532200034708,50,1000,0.040230644000694156,0.040230644000694156
01_ablate_core_observation_features,No core observation features,57,97,1.9097094000317156,50,1000,0.038194188000634316,0.038194188000634316
01_ablate_core_observation_features,No core observation features,58,98,1.7994037999305874,50,1000,0.03598807599861175,0.03598807599861175
01_ablate_core_observation_features,No core observation features,59,99,2.0302488999441266,50,1000,0.04060497799888253,0.04060497799888253
01_ablate_core_observation_features,No core observation features,60,100,1.87113539990969,50,1000,0.0374227079981938,0.0374227079981938
01_ablate_core_observation_features,No core observation features,61,101,1.6859337999485433,50,1000,0.03371867599897087,0.03371867599897087
01_ablate_core_observation_features,No core observation features,62,102,1.7326657000230625,50,1000,0.034653314000461254,0.034653314000461254
01_ablate_core_observation_features,No core observation features,63,103,1.728378799976781,50,1000,0.03456757599953562,0.03456757599953562
01_ablate_core_observation_features,No core observation features,64,104,1.7363883000798523,50,1000,0.03472776600159705,0.03472776600159705
01_ablate_core_observation_features,No core observation features,65,105,1.7885094999801368,50,1000,0.035770189999602735,0.035770189999602735
01_ablate_core_observation_features,No core observation features,66,106,1.8012686999281868,50,1000,0.03602537399856374,0.03602537399856374
01_ablate_core_observation_features,No core observation features,67,107,1.7755228000460193,50,1000,0.035510456000920385,0.035510456000920385
01_ablate_core_observation_features,No core observation features,68,108,1.778127400088124,50,1000,0.03556254800176248,0.03556254800176248
01_ablate_core_observation_features,No core observation features,69,109,1.777280900045298,50,1000,0.035545618000905964,0.035545618000905964
01_ablate_core_observation_features,No core observation features,70,110,1.787457300000824,50,1000,0.03574914600001648,0.03574914600001648
01_ablate_core_observation_features,No core observation features,71,111,1.7911740000126883,50,1000,0.03582348000025377,0.03582348000025377
01_ablate_core_observation_features,No core observation features,72,112,1.797050500055775,50,1000,0.0359410100011155,0.0359410100011155
01_ablate_core_observation_features,No core observation features,73,113,1.7393304000142962,50,1000,0.03478660800028592,0.03478660800028592
01_ablate_core_observation_features,No core observation features,74,114,1.756486300029792,50,1000,0.035129726000595836,0.035129726000595836
01_ablate_core_observation_features,No core observation features,75,115,1.7686348999850452,50,1000,0.03537269799970091,0.03537269799970091
01_ablate_core_observation_features,No core observation features,76,116,1.7610220999922603,50,1000,0.035220441999845205,0.035220441999845205
01_ablate_core_observation_features,No core observation features,77,117,1.8617524999426678,50,1000,0.03723504999885335,0.03723504999885335
01_ablate_core_observation_features,No core observation features,78,118,1.7349184999475256,50,1000,0.03469836999895051,0.03469836999895051
01_ablate_core_observation_features,No core observation features,79,119,1.8309732999186963,50,1000,0.03661946599837393,0.03661946599837393
01_ablate_core_observation_features,No core observation features,80,120,1.7924063000828028,50,1000,0.03584812600165606,0.03584812600165606
02_ablate_graph_topology_features,No graph topology features,0,40,1.7696248000720516,50,1000,0.03539249600144103,0.03539249600144103
02_ablate_graph_topology_features,No graph topology features,1,41,1.7919271000428125,50,1000,0.035838542000856254,0.035838542000856254
02_ablate_graph_topology_features,No graph topology features,2,42,1.7181947999633849,50,1000,0.034363895999267695,0.034363895999267695
02_ablate_graph_topology_features,No graph topology features,3,43,1.646321199950762,50,1000,0.03292642399901524,0.03292642399901524
02_ablate_graph_topology_features,No graph topology features,4,44,1.6457701000617817,50,1000,0.03291540200123563,0.03291540200123563
02_ablate_graph_topology_features,No graph topology features,5,45,1.7065345000009984,50,1000,0.03413069000001997,0.03413069000001997
02_ablate_graph_topology_features,No graph topology features,6,46,1.7029661999549717,50,1000,0.03405932399909943,0.03405932399909943
02_ablate_graph_topology_features,No graph topology features,7,47,1.7670006999978796,50,1000,0.03534001399995759,0.03534001399995759
02_ablate_graph_topology_features,No graph topology features,8,48,1.8025102999527007,50,1000,0.036050205999054015,0.036050205999054015
02_ablate_graph_topology_features,No graph topology features,9,49,1.7834386000176892,50,1000,0.03566877200035378,0.03566877200035378
02_ablate_graph_topology_features,No graph topology features,10,50,1.8579599999357015,50,1000,0.03715919999871403,0.03715919999871403
02_ablate_graph_topology_features,No graph topology features,11,51,1.7864755999762565,50,1000,0.03572951199952513,0.03572951199952513
02_ablate_graph_topology_features,No graph topology features,12,52,1.742637199931778,50,1000,0.03485274399863556,0.03485274399863556
02_ablate_graph_topology_features,No graph topology features,13,53,1.7880154999438673,50,1000,0.035760309998877346,0.035760309998877346
02_ablate_graph_topology_features,No graph topology features,14,54,1.7369809000520036,50,1000,0.03473961800104007,0.03473961800104007
02_ablate_graph_topology_features,No graph topology features,15,55,1.674889100017026,50,1000,0.03349778200034052,0.03349778200034052
02_ablate_graph_topology_features,No graph topology features,16,56,1.7437203000299633,50,1000,0.03487440600059927,0.03487440600059927
02_ablate_graph_topology_features,No graph topology features,17,57,1.8226409000344574,50,1000,0.03645281800068915,0.03645281800068915
02_ablate_graph_topology_features,No graph topology features,18,58,2.1939199999906123,50,1000,0.043878399999812245,0.043878399999812245
02_ablate_graph_topology_features,No graph topology features,19,59,2.157089799991809,50,1000,0.043141795999836176,0.043141795999836176
02_ablate_graph_topology_features,No graph topology features,20,60,2.2682286999188364,50,1000,0.04536457399837673,0.04536457399837673
02_ablate_graph_topology_features,No graph topology features,21,61,2.2680182999465615,50,1000,0.04536036599893123,0.04536036599893123
02_ablate_graph_topology_features,No graph topology features,22,62,2.237474299967289,50,1000,0.04474948599934578,0.04474948599934578
02_ablate_graph_topology_features,No graph topology features,23,63,2.2670605001039803,50,1000,0.04534121000207961,0.04534121000207961
02_ablate_graph_topology_features,No graph topology features,24,64,2.3201178000308573,50,1000,0.046402356000617144,0.046402356000617144
02_ablate_graph_topology_features,No graph topology features,25,65,2.240579399978742,50,1000,0.04481158799957484,0.04481158799957484
02_ablate_graph_topology_features,No graph topology features,26,66,2.2841962999664247,50,1000,0.045683925999328495,0.045683925999328495
02_ablate_graph_topology_features,No graph topology features,27,67,2.167514300090261,50,1000,0.04335028600180522,0.04335028600180522
02_ablate_graph_topology_features,No graph topology features,28,68,2.0948397000320256,50,1000,0.04189679400064051,0.04189679400064051
02_ablate_graph_topology_features,No graph topology features,29,69,2.1800075999926776,50,1000,0.04360015199985355,0.04360015199985355
02_ablate_graph_topology_features,No graph topology features,30,70,1.9124001000309363,50,1000,0.038248002000618724,0.038248002000618724
02_ablate_graph_topology_features,No graph topology features,31,71,1.9238158999942243,50,1000,0.038476317999884484,0.038476317999884484
02_ablate_graph_topology_features,No graph topology features,32,72,1.7776077000889927,50,1000,0.035552154001779857,0.035552154001779857
