loss,val_loss,epoch,experiment,label
2.991162061691284,3.143073320388794,2,02_ablate_graph_topology_features,No graph topology features
2.6414594650268555,2.363576412200928,3,02_ablate_graph_topology_features,No graph topology features
2.3021063804626465,2.232367992401123,4,02_ablate_graph_topology_features,No graph topology features
2.099453926086426,2.272778272628784,5,02_ablate_graph_topology_features,No graph topology features
1.946964144706726,1.9209738969802856,6,02_ablate_graph_topology_features,No graph topology features
1.909631371498108,1.5947054624557495,7,02_ablate_graph_topology_features,No graph topology features
1.722326159477234,1.8203396797180176,8,02_ablate_graph_topology_features,No graph topology features
1.6814494132995603,1.5980770587921145,9,02_ablate_graph_topology_features,No graph topology features
1.5722404718399048,1.585511326789856,10,02_ablate_graph_topology_features,No graph topology features
1.4387867450714111,1.761810541152954,11,02_ablate_graph_topology_features,No graph topology features
1.3628015518188477,1.4004666805267334,12,02_ablate_graph_topology_features,No graph topology features
1.4429529905319214,1.3113954067230225,13,02_ablate_graph_topology_features,No graph topology features
1.2709457874298096,1.3363085985183716,14,02_ablate_graph_topology_features,No graph topology features
1.1898598670959473,1.2344398498535156,15,02_ablate_graph_topology_features,No graph topology features
1.1293178796768188,1.2325553894042969,16,02_ablate_graph_topology_features,No graph topology features
1.1356984376907349,1.2165470123291016,17,02_ablate_graph_topology_features,No graph topology features
1.0580323934555054,1.0584206581115725,18,02_ablate_graph_topology_features,No graph topology features
0.9958175420761108,1.1984590291976929,19,02_ablate_graph_topology_features,No graph topology features
0.962084412574768,0.8737279772758484,20,02_ablate_graph_topology_features,No graph topology features
0.8758863806724548,1.1237635612487793,21,02_ablate_graph_topology_features,No graph topology features
0.8267571330070496,0.8597266674041748,22,02_ablate_graph_topology_features,No graph topology features
0.7738839983940125,0.9706355929374696,23,02_ablate_graph_topology_features,No graph topology features
0.744809627532959,0.8362954258918762,24,02_ablate_graph_topology_features,No graph topology features
0.7195042371749878,1.040591597557068,25,02_ablate_graph_topology_features,No graph topology features
0.6681826710700989,0.7248789072036743,26,02_ablate_graph_topology_features,No graph topology features
0.6037847399711609,0.7519095540046692,27,02_ablate_graph_topology_features,No graph topology features
0.5397650003433228,0.73711758852005,28,02_ablate_graph_topology_features,No graph topology features
0.5358796119689941,0.9510802030563354,29,02_ablate_graph_topology_features,No graph topology features
0.4790295660495758,0.8019885420799255,30,02_ablate_graph_topology_features,No graph topology features
0.4662803709506988,0.7138000726699829,31,02_ablate_graph_topology_features,No graph topology features
0.4139196872711181,0.672317385673523,32,02_ablate_graph_topology_features,No graph topology features
0.3616421520709991,0.6452710032463074,33,02_ablate_graph_topology_features,No graph topology features
0.3594357967376709,0.6613774299621582,34,02_ablate_graph_topology_features,No graph topology features
0.3216600716114044,0.6192114949226379,35,02_ablate_graph_topology_features,No graph topology features
0.3086980879306793,0.659813642501831,36,02_ablate_graph_topology_features,No graph topology features
0.2897014915943146,0.6347200870513916,37,02_ablate_graph_topology_features,No graph topology features
0.2832009196281433,0.6281710863113403,38,02_ablate_graph_topology_features,No graph topology features
0.2687758207321167,0.6225302219390869,39,02_ablate_graph_topology_features,No graph topology features
0.2564286589622497,0.6290441155433655,40,02_ablate_graph_topology_features,No graph topology features
