from_index,to_index,from_id,to_id,from_name,to_name,edge_dissimilarity,risk_contrast,dissimilarity_quintile
205,209,47230,47720,Yeongcheon-si,Gunwi-gun,0.08418804653662137,0.15533367201966808,Q1
205,211,47230,47750,Yeongcheon-si,Cheongsong-gun,1.5153848376591275,0.0005648783186860129,Q5
205,214,47230,47820,Yeongcheon-si,Cheongdo-gun,1.5060306102661702,0.2050364958322417,Q5
206,207,47250,47280,Sangju-si,Mungyeong-si,0.6547959175070293,0.019417881479615318,Q3
206,210,47250,47730,Sangju-si,Uiseong-gun,1.5340932924450439,0.016207407705766563,Q5
206,218,47250,47900,Sangju-si,Yecheon-gun,0.7483381914366064,0.03142166983623618,Q3
207,218,47280,47900,Mungyeong-si,Yecheon-gun,1.4031341089436355,0.01200378835662086,Q5
208,214,47290,47820,Gyeongsan-si,Cheongdo-gun,0.7015670544718178,0.05071251604452787,Q3
209,210,47720,47730,Gunwi-gun,Uiseong-gun,0.36481486832534915,0.08007087693691961,Q2
209,211,47720,47750,Gunwi-gun,Cheongsong-gun,1.431196791122506,0.1558985503383541,Q5
209,217,47720,47850,Gunwi-gun,Chilgok-gun,0.5425451887915425,0.0595416251812928,Q3
210,211,47730,47750,Uiseong-gun,Cheongsong-gun,1.7960116594478552,0.07582767340143448,Q5
210,218,47730,47900,Uiseong-gun,Yecheon-gun,2.28243148388165,0.04762907754200274,Q5
211,212,47750,47760,Cheongsong-gun,Yeongyang-gun,0.0561253643577459,0.05350471265882728,Q1
211,213,47750,47770,Cheongsong-gun,Yeongdeok-gun,0.9260685119027998,0.2444379114679487,Q4
212,213,47760,47770,Yeongyang-gun,Yeongdeok-gun,0.8699431475450539,0.1909331988091214,Q4
212,219,47760,47920,Yeongyang-gun,Bonghwa-gun,1.6276355663746176,0.016303860054288855,Q5
212,220,47760,47930,Yeongyang-gun,Uljin-gun,0.7951093284013933,0.130055439539408,Q3
