n_areas,n_edges,mean_degree,median_degree,degree_q90,median_edge_dissimilarity,scale_m,covariate_moran_i,median_log_exposure,source,application,configuration
264.0,774.0,5.863636363636363,6.0,8.0,0.8239670715182694,0.841231651748812,0.051219671680489465,5.374324214467577,training,,186.0
40.0,105.0,5.25,5.0,7.0,0.9608299988174587,0.721404599578527,-0.029327854081076514,4.23388048053155,training,,187.0
223.0,649.0,5.820627802690583,6.0,8.0,0.9497284178742693,0.7298372540135029,0.011370517231416006,5.302666154100909,training,,188.0
188.0,548.0,5.829787234042553,6.0,8.0,0.9655509308952703,0.7178773883188647,-0.03422360040053168,4.780032089457648,training,,189.0
152.0,438.0,5.7631578947368425,6.0,7.0,0.9607349848609494,0.7214759444408771,-0.003955358088373274,5.0679617261061,training,,190.0
269.0,791.0,5.881040892193308,6.0,8.0,0.9245380009019364,0.7497227587008247,0.009508006012134007,5.2505783214391,training,,191.0
107.0,308.0,5.757009345794392,6.0,7.0,0.9441587339313706,0.7341426347598973,-0.05357299600048931,5.459036084799617,training,,192.0
101.0,290.0,5.742574257425742,6.0,8.0,0.8914907736620246,0.7775146990166453,-0.010438858924714045,4.555175251935993,training,,193.0
210.0,614.0,5.847619047619047,6.0,8.0,0.940999349295969,0.736607502522228,0.005754273699617323,5.743408455845726,training,,194.0
108.0,310.0,5.7407407407407405,6.0,7.0,0.984170686873374,0.7042956976924547,-0.02380023869043083,5.441987576631385,training,,195.0
240.0,700.0,5.833333333333333,6.0,8.0,0.9184715947470179,0.7546745969328147,0.037794977978358346,5.555436076767359,training,,196.0
220.0,642.0,5.836363636363636,6.0,7.099999999999994,0.9912528598734154,0.6992637384657445,-0.001828500044512754,5.524162584209569,training,,197.0
71.0,200.0,5.633802816901408,6.0,7.0,0.9395354338863902,0.7377552304682545,0.03885108617090544,5.908350212163777,training,,198.0
250.0,731.0,5.848,6.0,7.0,0.9809165241023019,0.7066321787109129,-0.0623527980174038,5.4912105046010575,training,,199.0
216.0,633.0,5.861111111111111,6.0,8.0,0.9899201435112769,0.7002051479640884,0.02023403897941287,5.255203319324723,training,,200.0
297.0,875.0,5.892255892255892,6.0,8.0,0.9974690326984681,0.6949059648345811,-0.04128844181206776,5.462118904595863,training,,201.0
