area_id,risk_abi,fitted_count_mean_abi,pred_count_mean_abi,pred_count_lower_abi,pred_count_upper_abi,observed,expected,risk_carbayes
48127,1.2538848,419.20428,419.552,360.0,487.0,376.0,334.3244,1.11806337195224
48129,0.9668589,271.64603,272.022,231.975,315.02502,287.0,280.95724,1.00934199856425
48170,1.2116729,741.94684,742.21,628.975,865.0,659.0,612.33264,1.08840322165462
48220,1.4015656,362.40192,363.513,310.0,423.0,340.0,258.56937,1.30212817781023
48240,1.4000062,360.6586,360.392,291.0,444.0,317.0,257.61215,1.18919024108875
48250,1.0121478,644.2443,644.001,565.975,727.05005,661.0,636.5121,1.03138400112553
48270,1.4408292,443.91565,443.422,374.0,508.0,366.0,308.09735,1.12923856389158
48330,1.0943905,510.5129,510.309,439.975,589.0,437.0,466.48148,0.994724993498554
48720,1.2765194,145.46683,145.377,111.0,187.0,129.0,113.955826,1.10412315807554
48730,1.424593,245.48532,244.206,199.0,293.0,207.0,172.31963,1.13800980751176
48740,1.6244885,333.7575,334.523,258.95,383.05005,243.0,205.4539,1.13690039596153
48820,1.6690975,294.47437,294.455,227.0,344.0,225.0,176.42729,1.23861960752948
48850,1.2056311,213.56021,213.928,173.975,256.0,187.0,177.13562,1.06343666848678
48860,1.1859021,168.04994,168.283,130.0,211.0,140.0,141.70642,1.04478023780064
48870,1.2236246,180.34451,180.746,145.0,219.0,156.0,147.3855,1.05208699960787
48880,1.2368596,237.41565,236.807,182.975,289.0,182.0,191.95038,1.03892268683639
48890,1.4500087,288.9257,289.516,223.975,342.02502,215.0,199.25789,1.08874510173909
