from_index0,to_index0,from_id,to_id,edge_dissimilarity,boundary_prob_abi,boundary_median_abi,boundary_prob,boundary_median_car
162,168,45111,45210,1.1060963,0.30835,0,0.0,0
162,169,45111,45710,0.8530061,0.14912,0,0.0,0
163,165,45113,45140,0.87175393,0.16298,0,0.0,0
163,168,45113,45210,1.1060963,0.30835,0,0.0,0
163,169,45113,45710,0.8530061,0.14912,0,0.0,0
164,165,45130,45140,0.10311122,0.0,0,0.0,0
164,168,45130,45210,0.3374536,0.0,0,0.0,0
164,176,45130,45800,0.3374536,0.0,0,0.0,0
165,168,45140,45210,0.23434238,0.0,0,0.0,0
165,169,45140,45710,0.018747814,0.0,0,0.0,0
166,168,45180,45210,0.3187049,0.0,0,0.0,0
166,169,45180,45710,0.5717951,0.0,0,0.0,0
166,173,45180,45750,1.1060954,0.30835,0,0.0,0
166,174,45180,45770,0.881127,0.17008,0,0.0,0
166,175,45180,45790,0.4218161,0.0,0,0.0,0
166,176,45180,45800,0.3187049,0.0,0,0.0,0
166,195,45180,46880,0.8623792,0.15628,0,0.0,0
167,172,45190,45740,0.1781007,0.0,0,0.0,0
167,173,45190,45750,0.36557356,0.0,0,0.0,0
167,174,45190,45770,0.14060506,0.0,0,0.0,0
167,183,45190,46720,0.05624166,0.0,0,0.0,0
167,184,45190,46730,0.3280797,0.0,0,0.0,0
167,236,45190,48850,0.581169,0.0,0,0.0,0
167,238,45190,48870,0.06561647,0.0,0,0.0,0
168,169,45210,45710,0.2530902,0.0,0,0.0,0
