"draw","beta_0","alpha","tau2"
292,0.0171385363521274,0.391419355993919,0.012561479726837
293,0.0207368277284097,0.436361381472292,0.0124326848070615
294,0.0193324180431721,0.44301967377645,0.0131495641737419
295,0.0183598065810532,0.381070640799173,0.0124517076115551
296,0.0186699316538063,0.388386356289172,0.0116195327745851
297,0.0218035668775917,0.371461393154466,0.0172110391006778
298,0.016978784835564,0.432791765743607,0.0113765510504688
299,0.0178402368437274,0.434876303847937,0.0130913918545086
300,0.0157941784812536,0.394201401524548,0.0148071328152774
301,0.013061566475023,0.389359707158898,0.014596537485841
302,0.0101747600421827,0.397387926297908,0.0154586397274583
303,0.00775310409139112,0.34743460461489,0.0147185156947151
304,0.0161661611318878,0.28189958487831,0.0157927754646803
305,0.0224118945790935,0.297988250798116,0.0136868262037751
306,0.0217494408121503,0.257386933711408,0.0191022826504089
307,0.0192382507920783,0.283282454336108,0.0194867709111385
308,0.0199669103875342,0.299123070793558,0.0142138034262149
309,0.0219903302311074,0.284007492311395,0.0133090261265158
310,0.0132818447313085,0.258806602352116,0.0162146186126563
311,0.0249730459913844,0.282462749812813,0.0176310459399759
312,0.0221529535762467,0.275073078060947,0.0166839781237511
313,0.0177295186016143,0.292049064341583,0.0195538269624824
314,0.0166281132410693,0.275566110852246,0.0180435858133388
315,0.0216600548054455,0.295098150994205,0.018822124045571
316,0.00842313275302746,0.301522241565839,0.0184420812876351
317,0.0195695694731576,0.3799924132992,0.0158735992331871
318,0.0245729354302755,0.396354220753464,0.0131761865185042
319,0.0169500905372349,0.448211026456029,0.0130424349182059
320,0.0200289869980429,0.388965895592113,0.0163700248766376
321,0.0187591021988859,0.425552971953733,0.0174166611284566
322,0.0270104256946046,0.447726430456833,0.0112881533105599
323,0.0226163438601889,0.396319920785099,0.0110886106179846
324,0.00949514746321219,0.381158591759895,0.0146907812486307
325,0.0172669905160669,0.435905475366679,0.0155245542117782
326,0.0262770539373624,0.35885968684612,0.0137176025400617
327,0.0164849262885325,0.39344640990857,0.0145178806400967
328,0.0125875367724348,0.396330561587864,0.0134810516999423
329,0.020382811313028,0.383654413985478,0.0164593762390578
330,0.0263761612635968,0.397836363473551,0.0122307033471123
331,0.022504616335112,0.434993511500742,0.0130108249590511
332,0.0170945451530007,0.447220159966102,0.0122635412258327
333,0.0156625865763709,0.439544863770709,0.0105893652617602
334,0.0206581476946427,0.425350065320565,0.0142141524009509
335,0.015180554458299,0.378076712054271,0.0183843460825101
336,0.0182370483723681,0.428890755701695,0.0111774731205229
337,0.0209199742429,0.438866907729228,0.01316850954926
338,0.0252165936058741,0.42540006091914,0.00996368233738811
339,0.0241477796169318,0.432427381974832,0.0139273429662952
340,0.0242347517783307,0.393671265797581,0.0165530152045364
341,0.0209411116280553,0.373875895468795,0.0127811234446929
342,0.0212297007234475,0.377206844864703,0.01322415752746
343,0.0252445559625282,0.393320972447182,0.015752684831435
344,0.0151660996638871,0.376940777959386,0.0130603257256974
345,0.0106328711256816,0.375983101882152,0.0170371689896264
346,0.014817440796349,0.387754200752699,0.01223645335556
347,0.0194925514371722,0.39556610967088,0.0116001026372804
348,0.0201801839338731,0.433563238985653,0.0116822561044912
349,0.0138494071722405,0.39945514075245,0.0132654466652403
350,0.0202078122267981,0.375455500738296,0.0137505696578033
351,0.0221169137805645,0.414827884447177,0.0158643216438506
352,0.0206837672957906,0.413688205419039,0.0119984416816395
353,0.0259589372174296,0.439231126898452,0.0134921747230544
354,0.0199683496380504,0.444270941775509,0.0123014312530773
355,0.0197186241568062,0.381321624068266,0.0138574365614848
356,0.0255318289804124,0.426509983191435,0.0130754022175548
357,0.016872531754152,0.383408451611669,0.0109402391980604
358,0.0200342014619681,0.447419217185589,0.0107334992438235
359,0.0220335145282903,0.444110417836546,0.011905633803965
360,0.0150091473151895,0.447954398113775,0.00993721111375861
361,0.0314624508997619,0.387636036634965,0.0167258319319706
362,0.0273931853938294,0.399514562643172,0.0162738761533624
363,0.0220000692746482,0.370824994417252,0.01450679941994
364,0.0238788869218187,0.411977198539399,0.0107221029084845
365,0.0124442192410678,0.385894938195799,0.011477489992032
366,0.0225208164408069,0.446344124871752,0.0113660875182683
367,0.0207618694002079,0.378860607533145,0.0146441245150915
368,0.0214585835457183,0.377524927373088,0.0168531207915925
369,0.0191708880019978,0.378100492080278,0.0136146466260618
370,0.016500017126297,0.374537349772918,0.0154988445501892
371,0.018167606320131,0.438230772131386,0.0151390385615955
372,0.0188001003289833,0.39683321431363,0.0174989150878753
373,0.023638668030621,0.375023709943334,0.0195976824911101
374,0.0147972539015664,0.37662318437059,0.00976506958919349
375,0.016235817882646,0.377979275127298,0.0142255996641957
376,0.0176815432452111,0.397448005551283,0.0107104871600398
377,0.0163899176730887,0.40516402919209,0.0163220468257065
378,0.0194052141749336,0.371571537312725,0.0140466728288492
379,0.0187087232979886,0.38169657726472,0.0131579945027149
380,0.0174864309312527,0.371156793866694,0.016560506745466
381,0.0142883038056622,0.39497488920775,0.0144887985027531
382,0.0247683778238962,0.397904294082196,0.0122823144485111
